Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
55305,44.956374,-93.427997,Minnetonka,Hennepin,Minneapolis-St Paul,MN,321400,132100,262100,340200,415700,587600
55306,44.730944,-93.291381,Burnsville,Dakota,Minneapolis-St Paul,MN,289500,,177800,283500,312200,354000
55308,45.441395,-93.832031,Becker,Sherburne,Minneapolis-St Paul,MN,237700,,210200,236200,255200,304800
55309,45.377728,-93.744336,Big Lake,Sherburne,Minneapolis-St Paul,MN,220500,,195500,221400,234200,284800
55311,45.106403,-93.497029,Maple Grove,Hennepin,Minneapolis-St Paul,MN,351600,236400,195400,311600,441100,526300
55313,45.174664,-93.851455,Buffalo,Wright,Minneapolis-St Paul,MN,225800,,177700,224600,258000,297900
55315,44.721096,-93.688973,Carver,Carver,Minneapolis-St Paul,MN,321900,,192400,303700,351300,380200
55316,45.172932,-93.386829,Champlin,Hennepin,Minneapolis-St Paul,MN,233700,,191200,229100,244200,329700
55317,44.858704,-93.550209,Chanhassen,Carver,Minneapolis-St Paul,MN,330500,,185500,302100,425500,543600
55318,44.810785,-93.636248,Chaska,Carver,Minneapolis-St Paul,MN,276500,,181600,247300,349700,433000
55319,45.475266,-93.943856,Clear Lake,Sherburne,Minneapolis-St Paul,MN,250600,,231000,258500,288400,326300
55320,45.396331,-94.086052,Clearwater,Wright,Minneapolis-St Paul,MN,216000,,188500,227600,274600,
55321,45.087589,-94.193155,Cokato,Wright,Minneapolis-St Paul,MN,201200,,165800,184000,216800,
55322,44.771879,-93.787131,Cologne,Carver,Minneapolis-St Paul,MN,268900,,208800,262500,297700,
55327,45.195735,-93.475802,Dayton,Hennepin,Minneapolis-St Paul,MN,272100,,244500,260500,277500,387700
55328,45.031875,-93.811951,Delano,Wright,Minneapolis-St Paul,MN,262800,,226200,236500,314400,352900
55330,45.334168,-93.568216,Elk River,Sherburne,Minneapolis-St Paul,MN,237700,156200,179900,235300,293700,320100
55331,44.895664,-93.607649,Shorewood,Hennepin,Minneapolis-St Paul,MN,520400,391800,381800,471100,561400,749500
55337,44.778472,-93.272269,Burnsville,Dakota,Minneapolis-St Paul,MN,254900,90400,171100,251000,281200,292700
55340,45.078263,-93.572118,Medina,Hennepin,Minneapolis-St Paul,MN,443900,,330700,357400,453600,767100
55341,45.157755,-93.66275,Hanover,Wright,Minneapolis-St Paul,MN,294500,,,268000,323300,
55343,44.914372,-93.416254,Hopkins,Hennepin,Minneapolis-St Paul,MN,236600,66500,197700,265100,338900,404800
55344,44.863838,-93.430008,Eden Prairie,Hennepin,Minneapolis-St Paul,MN,240200,132000,193300,272000,368300,491500
55345,44.915442,-93.48443,Minnetonka,Hennepin,Minneapolis-St Paul,MN,349600,239500,272600,326300,387100,442300
55346,44.880805,-93.482008,Eden Prairie,Hennepin,Minneapolis-St Paul,MN,331600,,189200,318000,363700,434200
55347,44.827922,-93.462312,Eden Prairie,Hennepin,Minneapolis-St Paul,MN,404500,169600,200100,337000,450300,568100
55349,45.058647,-94.074539,Howard Lake,Wright,Minneapolis-St Paul,MN,198600,,167000,188100,243500,
55352,44.651475,-93.592608,Jordan,Scott,Minneapolis-St Paul,MN,292400,,230300,293700,322600,360200
55356,44.994245,-93.58962,Orono,Hennepin,Minneapolis-St Paul,MN,525100,,280500,402800,639600,989300
55357,45.103722,-93.674218,Greenfield,Hennepin,Minneapolis-St Paul,MN,341600,,240700,357800,390900,507000
