Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
98201,48.006311,-122.210044,Everett,Snohomish,Seattle,WA,300700,227900,263600,318900,369000,398500
98203,47.945519,-122.231096,Everett,Snohomish,Seattle,WA,355800,236000,282700,362000,424400,503900
98204,47.901362,-122.260891,Paine Field-Lake Stickney,Snohomish,Seattle,WA,295600,151900,198400,332900,379200,411200
98208,47.901777,-122.186999,Seattle Hill-Silver Firs,Snohomish,Seattle,WA,420100,148900,284900,411300,478300,511100
98221,48.505025,-122.659285,Anacortes,Skagit,Mount Vernon,WA,406800,337500,365300,405800,510500,585800
98223,48.21712,-121.95354,Arlington,Snohomish,Seattle,WA,356900,219700,291800,348200,445500,508100
98225,48.75094,-122.501286,Bellingham,Whatcom,Bellingham,WA,356700,206400,320800,392600,460200,556300
98226,48.798606,-122.445693,Bellingham,Whatcom,Bellingham,WA,361500,188300,267000,366400,478600,541000
98229,48.696127,-122.413538,Bellingham,Whatcom,Bellingham,WA,377900,154400,292000,373700,506400,565400
98230,48.953455,-122.705013,Blaine,Whatcom,Bellingham,WA,294100,159400,231300,330300,413600,469300
98244,48.831811,-121.933829,Deming,Whatcom,Bellingham,WA,262500,175800,226500,283900,386700,482500
98258,48.04417,-122.077404,Lake Stevens,Snohomish,Seattle,WA,364800,273500,321600,351300,418700,505200
98270,48.056723,-122.146904,Marysville,Snohomish,Seattle,WA,339700,232600,265800,333600,376100,422100
98272,47.848583,-121.894899,Monroe,Snohomish,Seattle,WA,384300,273100,300800,376000,467900,517600
98273,48.402754,-122.376148,Mount Vernon,Skagit,Mount Vernon,WA,280400,192600,228200,283300,331400,364200
98275,47.916786,-122.302643,Mukilteo,Snohomish,Seattle,WA,546600,161300,336900,547500,689000,784600
98277,48.316859,-122.622619,Oak Harbor,Island,Oak Harbor,WA,293700,272500,254900,295200,336200,397800
98284,48.546832,-122.135222,Sedro-Woolley,Skagit,Mount Vernon,WA,254600,197400,223300,265400,292900,380600
98290,47.955367,-121.978502,Snohomish,Snohomish,Seattle,WA,459900,318100,353800,452300,582000,649500
98292,48.216792,-122.31439,Stanwood,Snohomish,Seattle,WA,403200,315600,342600,391200,454900,527200
98312,47.573702,-122.786447,Bremerton,Kitsap,Bremerton,WA,258100,177500,196300,280300,344100,407700
98328,46.86589,-122.157916,Eatonville,Pierce,Seattle,WA,307200,194200,285500,341100,394300,463400
98332,47.372495,-122.595828,Gig Harbor,Pierce,Seattle,WA,490000,373400,440900,450300,654700,871100
98366,47.541253,-122.577029,Port Orchard,Kitsap,Bremerton,WA,273300,217400,246200,268000,301300,351500
98367,47.461156,-122.698,Port Orchard,Kitsap,Bremerton,WA,332500,257300,300000,325600,392100,442300
98370,47.753859,-122.626792,Poulsbo,Kitsap,Bremerton,WA,378800,299400,330200,367100,449700,485800
98371,47.199448,-122.323541,Puyallup,Pierce,Seattle,WA,328300,207300,250700,327100,386000,426200
98372,47.205607,-122.266088,Puyallup,Pierce,Seattle,WA,352100,210600,236700,351200,427900,476400
98391,47.177102,-122.166177,Bonney Lake,Pierce,Seattle,WA,365000,340800,313600,331800,418700,470300
