Latitude,Longitude,City,County,Metro,State,MedianPrice,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
40.4842027,-88.9936873,Bloomington,McLean,Bloomington,IL,151100.0,82200.0,93900.0,142200.0,228600.0,303100.0
40.6936488,-89.5889864,Peoria,Peoria,Peoria,IL,87900.0,40800.0,53300.0,102500.0,164100.0,187400.0
40.666149,-89.5800978,"East Peoria",Tazewell,Peoria,IL,118300.0,60500.0,75700.0,129800.0,140000.0,116800.0
40.5675388,-89.640658,Pekin,Tazewell,Peoria,IL,91600.0,52800.0,69300.0,103800.0,116700.0,107200.0
41.1306041,-85.1288597,"Fort Wayne",Allen,"Fort Wayne",IN,100200.0,41000.0,55700.0,95200.0,154500.0,194600.0
39.2014405,-85.9213796,Columbus,Bartholomew,Columbus,IN,138300.0,76800.0,91400.0,138100.0,231600.0,326400.0
40.7544843,-86.3566659,Logansport,Cass,Logansport,IN,62800.0,49600.0,54400.0,73800.0,79800.0,68000.0
38.2967362,-85.7599631,Clarksville,Clark,"Louisville/Jefferson County",IN,105800.0,65400.0,83500.0,108100.0,116400.0,125600.0
38.2775702,-85.7371847,Jeffersonville,Clark,"Louisville/Jefferson County",IN,110500.0,73400.0,83500.0,116600.0,131600.0,143200.0
40.2794809,-86.5108355,Frankfort,Clinton,Frankfort,IN,81900.0,52600.0,63000.0,91300.0,116700.0,129200.0
38.3914418,-86.9311094,Jasper,Dubois,Jasper,IN,146100.0,90700.0,109200.0,153600.0,177500.0,184500.0
41.5822716,-85.8344383,Goshen,Elkhart,Elkhart,IN,134700.0,71500.0,111600.0,136600.0,173500.0,230700.0
39.6411589,-85.1410748,Connersville,Fayette,Connersville,IN,66600.0,41100.0,43100.0,77600.0,93400.0,78200.0
38.2856247,-85.8241312,"New Albany",Floyd,"Louisville/Jefferson County",IN,122700.0,61400.0,83200.0,135400.0,177100.0,195200.0
40.5583739,-85.6591442,Marion,Grant,Marion,IN,64500.0,36500.0,43400.0,69100.0,124700.0,163100.0
40.486427,-86.1336033,Kokomo,Howard,Kokomo,IN,82000.0,36500.0,53300.0,84500.0,135800.0,145500.0
39.6136578,-86.1066526,Greenwood,Johnson,Indianapolis,IN,163900.0,76000.0,108500.0,151300.0,217400.0,268300.0
41.2381001,-85.8530469,Warsaw,Kosciusko,Warsaw,IN,134000.0,79100.0,111700.0,135400.0,184600.0,197300.0
41.5833688,-87.5000412,Hammond,Lake,Chicago,IN,79000.0,56600.0,68500.0,83100.0,100400.0,108400.0
41.3436555,-86.3097278,Plymouth,Marshall,Plymouth,IN,125600.0,82300.0,90700.0,133400.0,161500.0,171700.0
39.165325,-86.5263857,Bloomington,Monroe,Bloomington,IN,163400.0,126700.0,134500.0,168000.0,263700.0,341700.0
40.0411536,-86.8744516,Crawfordsville,Montgomery,Crawfordsville,IN,116900.0,64700.0,81600.0,120400.0,146900.0,172300.0
39.6128243,-86.37416,Mooresville,Morgan,Indianapolis,IN,148300.0,89100.0,112300.0,146900.0,198900.0,235300.0
41.4730948,-87.0611412,Valparaiso,Porter,Chicago,IN,197700.0,117400.0,133300.0,181600.0,251400.0,315600.0
39.5214373,-85.7769238,Shelbyville,Shelby,Indianapolis,IN,105900.0,63800.0,70500.0,114200.0,148000.0,146700.0
37.9747644,-87.5558482,Evansville,Vanderburgh,Evansville,IN,108200.0,49100.0,65900.0,128300.0,183800.0,253800.0
39.4667034,-87.4139092,"Terre Haute",Vigo,"Terre Haute",IN,75200.0,45800.0,57800.0,93300.0,143100.0,157800.0
41.1572686,-85.4883127,"Columbia City",Whitley,"Fort Wayne",IN,130600.0,79500.0,103100.0,134400.0,153400.0,195000.0
38.0497996,-84.4585485,Lexington,Fayette,Lexington,KY,166600.0,101500.0,120800.0,163100.0,268200.0,442500.0
37.8361538,-87.5900134,Henderson,Henderson,Evansville,KY,127900.0,97300.0,80300.0,129200.0,217800.0,318100.0
38.2542376,-85.759407,Louisville,Jefferson,"Louisville/Jefferson County",KY,119100.0,89300.0,194600.0,136500.0,214100.0,161300.0
38.34391,-85.59813,Prospect,Jefferson,"Louisville/Jefferson County",KY,390600.0,274000.0,385100.0,404700.0,503400.0,571700.0
